T_ID,Country_ID,PositiveTweets,NegativeTweets,NeutralTweets
1,1,0,3,1
2,2,31,1,18
3,3,0,0,0
4,4,0,0,2
5,5,1,0,0
6,6,1,0,2
7,7,1,0,1
8,8,8,17,4
9,9,31,1,18
10,10,0,0,0
11,11,15,9,9
12,12,2,1,2
13,13,1,0,0
14,14,1,19,6
15,15,14,12,24
16,17,20,4,21
17,18,0,4,0
18,19,0,0,0
19,20,0,1,1
20,21,31,1,18
21,22,4,2,2
22,23,0,0,1
23,24,12,2,5
24,25,0,0,3
25,26,0,4,0
26,27,0,3,0
27,28,3,1,0
28,29,0,1,0
29,30,3,1,0
30,31,0,1,0
31,32,0,0,0
32,33,0,0,0
33,34,2,0,2
34,35,2,0,2
35,36,0,0,0
36,37,2,0,2
37,38,1,0,1
38,39,0,12,3
39,40,0,0,1
40,#N/A,0,4,0
41,42,31,1,18
42,43,10,4,8
43,44,2,0,2
44,45,20,10,20
45,47,4,0,0
46,48,15,7,28
47,49,0,0,0
48,50,1,0,0
49,51,10,1,5
50,52,0,0,1
51,53,1,0,0
52,54,1,0,0
53,55,10,21,8
54,56,0,0,0
55,58,0,0,0
56,59,1,19,6
57,60,14,12,24
58,61,0,0,0
59,62,0,1,0
60,63,0,3,0
61,64,0,0,0
62,65,31,8,11
63,66,0,4,0
64,67,31,1,18
65,68,1,0,0
66,69,10,3,16
67,70,0,3,0
68,71,0,3,0
69,72,1,0,0
70,73,10,1,5
71,74,10,3,16
72,75,0,0,13
73,76,0,0,0
74,77,12,4,4
75,78,13,2,5
76,79,0,0,0
77,80,2,0,1
78,81,24,0,26
79,82,2,0,1
80,83,31,1,18
81,84,10,1,5
82,85,0,0,0
83,86,2,0,1
84,87,0,0,0
85,88,0,11,3
86,89,0,0,0
87,90,3,1,1
88,91,0,0,0
89,92,3,1,0
90,93,10,21,8
91,94,2,0,2
92,95,5,7,6
93,96,0,3,0
94,97,10,21,8
95,98,14,12,24
96,99,0,0,5
97,100,0,0,0
98,101,11,2,5
99,102,0,0,0
100,103,0,3,0
101,104,31,1,18
102,105,0,0,0
103,106,0,0,5
104,107,14,3,20
105,108,0,0,0
106,109,31,1,18
107,110,0,0,1
108,111,0,0,0
109,112,2,1,0
110,113,3,2,2
111,114,0,0,2
112,115,13,12,25
113,117,0,0,0
114,118,0,0,33
115,119,1,0,0
116,120,0,0,0
117,121,0,1,0
118,122,4,4,3
119,123,2,1,1
120,124,0,3,2
121,125,0,0,1
122,126,0,1,0
123,127,0,1,0
124,128,16,1,1
125,129,4,3,20
126,130,0,0,5
127,131,4,0,0
128,132,0,0,0
129,133,0,0,2
130,134,0,0,0
131,135,0,11,3
132,136,1,0,0
133,137,1,0,0
134,138,1,0,0
135,139,0,0,0
136,140,0,1,0
137,141,2,1,1
138,142,0,3,0
139,143,31,1,18
140,145,0,3,0
141,146,0,0,18
142,147,31,1,18
143,148,0,0,0
144,149,5,7,6
145,150,5,0,9
146,151,2,2,2
147,152,0,0,0
148,154,1,0,0
149,155,4,2,3
150,156,15,21,14
151,157,31,1,18
152,158,0,0,0
153,159,3,1,0
154,160,31,1,18
155,161,1,0,0
156,162,0,4,0
157,163,1,0,0
158,164,0,0,0
159,165,2,0,2
160,166,0,0,0
161,167,0,11,3
162,168,0,0,0
163,169,2,1,1
164,170,17,6,27
165,171,0,11,3
166,172,22,3,25
167,173,1,1,2
168,175,0,0,0
169,176,0,0,0
170,177,1,0,1
171,178,18,2,1
172,179,0,0,0
173,181,0,0,0
174,182,3,2,2
