FW_ID,Country,Element,Item,Year,Unit,Unit_Type,Value
1234,Ethiopia,Total Population - Both sexes,Population,2013,1000,persons,94101
1259,Fiji,Total Population - Both sexes,Population,2013,1000,persons,881
1282,Finland,Total Population - Both sexes,Population,2013,1000,persons,5426
1305,France,Total Population - Both sexes,Population,2013,1000,persons,64291
1328,French Polynesia,Total Population - Both sexes,Population,2013,1000,persons,277
1351,Gabon,Total Population - Both sexes,Population,2013,1000,persons,1672
1374,Gambia,Total Population - Both sexes,Population,2013,1000,persons,1849
1396,Georgia,Total Population - Both sexes,Population,2013,1000,persons,4341
1419,Germany,Total Population - Both sexes,Population,2013,1000,persons,82727
1442,Ghana,Total Population - Both sexes,Population,2013,1000,persons,25905
1465,Greece,Total Population - Both sexes,Population,2013,1000,persons,11128
1488,Grenada,Total Population - Both sexes,Population,2013,1000,persons,106
1511,Guatemala,Total Population - Both sexes,Population,2013,1000,persons,15468
1534,Guinea,Total Population - Both sexes,Population,2013,1000,persons,11745
1557,Guinea-Bissau,Total Population - Both sexes,Population,2013,1000,persons,1704
1580,Guyana,Total Population - Both sexes,Population,2013,1000,persons,800
1603,Haiti,Total Population - Both sexes,Population,2013,1000,persons,10317
1626,Honduras,Total Population - Both sexes,Population,2013,1000,persons,8096
1649,Hungary,Total Population - Both sexes,Population,2013,1000,persons,9955
1672,Iceland,Total Population - Both sexes,Population,2013,1000,persons,330
1695,India,Total Population - Both sexes,Population,2013,1000,persons,1252140
1718,Indonesia,Total Population - Both sexes,Population,2013,1000,persons,249866
1741,Iran (Islamic Republic of),Total Population - Both sexes,Population,2013,1000,persons,77447
1764,Iraq,Total Population - Both sexes,Population,2013,1000,persons,33765
1787,Ireland,Total Population - Both sexes,Population,2013,1000,persons,4627
1810,Israel,Total Population - Both sexes,Population,2013,1000,persons,7733
1833,Italy,Total Population - Both sexes,Population,2013,1000,persons,60990
1856,Jamaica,Total Population - Both sexes,Population,2013,1000,persons,2784
1879,Japan,Total Population - Both sexes,Population,2013,1000,persons,127144
1902,Jordan,Total Population - Both sexes,Population,2013,1000,persons,7274
1924,Kazakhstan,Total Population - Both sexes,Population,2013,1000,persons,16441
1947,Kenya,Total Population - Both sexes,Population,2013,1000,persons,44354
1970,Kiribati,Total Population - Both sexes,Population,2013,1000,persons,102
1993,Kuwait,Total Population - Both sexes,Population,2013,1000,persons,3369
2015,Kyrgyzstan,Total Population - Both sexes,Population,2013,1000,persons,5548
2038,Lao People's Democratic Republic,Total Population - Both sexes,Population,2013,1000,persons,6770
2060,Latvia,Total Population - Both sexes,Population,2013,1000,persons,2050
2083,Lebanon,Total Population - Both sexes,Population,2013,1000,persons,4822
2106,Lesotho,Total Population - Both sexes,Population,2013,1000,persons,2074
2129,Liberia,Total Population - Both sexes,Population,2013,1000,persons,4294
2151,Lithuania,Total Population - Both sexes,Population,2013,1000,persons,3017
2165,Luxembourg,Total Population - Both sexes,Population,2013,1000,persons,530
2188,Madagascar,Total Population - Both sexes,Population,2013,1000,persons,22925
2211,Malawi,Total Population - Both sexes,Population,2013,1000,persons,16363
2234,Malaysia,Total Population - Both sexes,Population,2013,1000,persons,29717
2257,Maldives,Total Population - Both sexes,Population,2013,1000,persons,345
2280,Mali,Total Population - Both sexes,Population,2013,1000,persons,15302
2303,Malta,Total Population - Both sexes,Population,2013,1000,persons,429
2326,Mauritania,Total Population - Both sexes,Population,2013,1000,persons,3890
2349,Mauritius,Total Population - Both sexes,Population,2013,1000,persons,1244
2372,Mexico,Total Population - Both sexes,Population,2013,1000,persons,122332
2395,Mongolia,Total Population - Both sexes,Population,2013,1000,persons,2839
2403,Montenegro,Total Population - Both sexes,Population,2013,1000,persons,621
2426,Morocco,Total Population - Both sexes,Population,2013,1000,persons,33008
2449,Mozambique,Total Population - Both sexes,Population,2013,1000,persons,25834
2472,Myanmar,Total Population - Both sexes,Population,2013,1000,persons,53259
2495,Namibia,Total Population - Both sexes,Population,2013,1000,persons,2303
2518,Nepal,Total Population - Both sexes,Population,2013,1000,persons,27797
2541,Netherlands,Total Population - Both sexes,Population,2013,1000,persons,16759
2584,New Caledonia,Total Population - Both sexes,Population,2013,1000,persons,256
2607,New Zealand,Total Population - Both sexes,Population,2013,1000,persons,4506
2630,Nicaragua,Total Population - Both sexes,Population,2013,1000,persons,6080
2653,Niger,Total Population - Both sexes,Population,2013,1000,persons,17831
2676,Nigeria,Total Population - Both sexes,Population,2013,1000,persons,173615
2699,Norway,Total Population - Both sexes,Population,2013,1000,persons,5043
2722,Oman,Total Population - Both sexes,Population,2013,1000,persons,3632
2745,Pakistan,Total Population - Both sexes,Population,2013,1000,persons,182143
2768,Panama,Total Population - Both sexes,Population,2013,1000,persons,3864
2791,Paraguay,Total Population - Both sexes,Population,2013,1000,persons,6802
2814,Peru,Total Population - Both sexes,Population,2013,1000,persons,30376
2837,Philippines,Total Population - Both sexes,Population,2013,1000,persons,98394
2860,Poland,Total Population - Both sexes,Population,2013,1000,persons,38217
2883,Portugal,Total Population - Both sexes,Population,2013,1000,persons,10608
2906,Republic of Korea,Total Population - Both sexes,Population,2013,1000,persons,49263
2928,Republic of Moldova,Total Population - Both sexes,Population,2013,1000,persons,3487
2951,Romania,Total Population - Both sexes,Population,2013,1000,persons,21699
2973,Russian Federation,Total Population - Both sexes,Population,2013,1000,persons,142834
2996,Rwanda,Total Population - Both sexes,Population,2013,1000,persons,11777
3019,Saint Kitts and Nevis,Total Population - Both sexes,Population,2013,1000,persons,54
3042,Saint Lucia,Total Population - Both sexes,Population,2013,1000,persons,182
3065,Saint Vincent and the Grenadines,Total Population - Both sexes,Population,2013,1000,persons,109
3088,Samoa,Total Population - Both sexes,Population,2013,1000,persons,190
3111,Sao Tome and Principe,Total Population - Both sexes,Population,2013,1000,persons,193
3134,Saudi Arabia,Total Population - Both sexes,Population,2013,1000,persons,28829
3157,Senegal,Total Population - Both sexes,Population,2013,1000,persons,14133
3165,Serbia,Total Population - Both sexes,Population,2013,1000,persons,9511
3202,Sierra Leone,Total Population - Both sexes,Population,2013,1000,persons,6092
3223,Slovakia,Total Population - Both sexes,Population,2013,1000,persons,5450
3245,Slovenia,Total Population - Both sexes,Population,2013,1000,persons,2072
3268,Solomon Islands,Total Population - Both sexes,Population,2013,1000,persons,561
3291,South Africa,Total Population - Both sexes,Population,2013,1000,persons,52776
3314,Spain,Total Population - Both sexes,Population,2013,1000,persons,46927
3337,Sri Lanka,Total Population - Both sexes,Population,2013,1000,persons,21273
3339,Sudan,Total Population - Both sexes,Population,2013,1000,persons,37964
3383,Suriname,Total Population - Both sexes,Population,2013,1000,persons,539
3406,Swaziland,Total Population - Both sexes,Population,2013,1000,persons,1250
3429,Sweden,Total Population - Both sexes,Population,2013,1000,persons,9571
3452,Switzerland,Total Population - Both sexes,Population,2013,1000,persons,8078
3474,Tajikistan,Total Population - Both sexes,Population,2013,1000,persons,8208
3497,Thailand,Total Population - Both sexes,Population,2013,1000,persons,67011
3519,The former Yugoslav Republic of Macedonia,Total Population - Both sexes,Population,2013,1000,persons,2107
3542,Timor-Leste,Total Population - Both sexes,Population,2013,1000,persons,1133
3565,Togo,Total Population - Both sexes,Population,2013,1000,persons,6817
3588,Trinidad and Tobago,Total Population - Both sexes,Population,2013,1000,persons,1341
3611,Tunisia,Total Population - Both sexes,Population,2013,1000,persons,10997
3634,Turkey,Total Population - Both sexes,Population,2013,1000,persons,74933
3656,Turkmenistan,Total Population - Both sexes,Population,2013,1000,persons,5240
3679,Uganda,Total Population - Both sexes,Population,2013,1000,persons,37579
3701,Ukraine,Total Population - Both sexes,Population,2013,1000,persons,45239
3724,United Arab Emirates,Total Population - Both sexes,Population,2013,1000,persons,9346
3747,United Kingdom,Total Population - Both sexes,Population,2013,1000,persons,63384
3770,United Republic of Tanzania,Total Population - Both sexes,Population,2013,1000,persons,49253
3793,United States of America,Total Population - Both sexes,Population,2013,1000,persons,320051
3816,Uruguay,Total Population - Both sexes,Population,2013,1000,persons,3407
3839,Uzbekistan,Total Population - Both sexes,Population,2013,1000,persons,28934
3862,Vanuatu,Total Population - Both sexes,Population,2013,1000,persons,253
3885,Venezuela (Bolivarian Republic of),Total Population - Both sexes,Population,2013,1000,persons,30405
3908,Viet Nam,Total Population - Both sexes,Population,2013,1000,persons,91680
3931,Yemen,Total Population - Both sexes,Population,2013,1000,persons,24407
3955,Zambia,Total Population - Both sexes,Population,2013,1000,persons,14539
3978,Zimbabwe,Total Population - Both sexes,Population,2013,1000,persons,14150
4001,China,Total Population - Both sexes,Population,2013,1000,persons,1416667
4025,Afghanistan,Production,Wheat and products,2013,1000,tonnes,5169
4049,Afghanistan,Production,Rice (Milled Equivalent),2013,1000,tonnes,342
4073,Afghanistan,Production,Barley and products,2013,1000,tonnes,514
4097,Afghanistan,Production,Maize and products,2013,1000,tonnes,312
4121,Afghanistan,Production,Millet and products,2013,1000,tonnes,13
4145,Afghanistan,Production,Potatoes and products,2013,1000,tonnes,303
4169,Afghanistan,Production,Sugar cane,2013,1000,tonnes,90
4193,Afghanistan,Production,Sugar beet,2013,1000,tonnes,15
4217,Afghanistan,Production,Sugar (Raw Equivalent),2013,1000,tonnes,2
4241,Afghanistan,Production,Honey,2013,1000,tonnes,2
4265,Afghanistan,Production,"Pulses, Other and products",2013,1000,tonnes,60
4289,Afghanistan,Production,Nuts and products,2013,1000,tonnes,56
4313,Afghanistan,Production,Sunflower seed,2013,1000,tonnes,3
4337,Afghanistan,Production,Cottonseed,2013,1000,tonnes,27
4361,Afghanistan,Production,Sesame seed,2013,1000,tonnes,32
4385,Afghanistan,Production,Olives (including preserved),2013,1000,tonnes,7
4409,Afghanistan,Production,"Oilcrops, Other",2013,1000,tonnes,3
4433,Afghanistan,Production,Sunflowerseed Oil,2013,1000,tonnes,1
4457,Afghanistan,Production,Cottonseed Oil,2013,1000,tonnes,5
4481,Afghanistan,Production,Sesameseed Oil,2013,1000,tonnes,1
4505,Afghanistan,Production,Olive Oil,2013,1000,tonnes,1
4529,Afghanistan,Production,"Oilcrops Oil, Other",2013,1000,tonnes,1
4553,Afghanistan,Production,"Vegetables, Other",2013,1000,tonnes,916
4577,Afghanistan,Production,"Oranges, Mandarines",2013,1000,tonnes,6
4601,Afghanistan,Production,"Citrus, Other",2013,1000,tonnes,3
4625,Afghanistan,Production,Apples and products,2013,1000,tonnes,79
4649,Afghanistan,Production,Grapes and products (excl wine),2013,1000,tonnes,611
4673,Afghanistan,Production,"Fruits, Other",2013,1000,tonnes,304
4697,Afghanistan,Production,"Spices, Other",2013,1000,tonnes,13
4721,Afghanistan,Production,Bovine Meat,2013,1000,tonnes,134
4745,Afghanistan,Production,Mutton & Goat Meat,2013,1000,tonnes,150
4769,Afghanistan,Production,Poultry Meat,2013,1000,tonnes,26
4793,Afghanistan,Production,"Meat, Other",2013,1000,tonnes,12
4817,Afghanistan,Production,"Offals, Edible",2013,1000,tonnes,53
4841,Afghanistan,Production,"Butter, Ghee",2013,1000,tonnes,36
4865,Afghanistan,Production,"Fats, Animals, Raw",2013,1000,tonnes,14
4889,Afghanistan,Production,Eggs,2013,1000,tonnes,18
4913,Afghanistan,Production,Milk - Excluding Butter,2013,1000,tonnes,1835
4937,Afghanistan,Production,Freshwater Fish,2013,1000,tonnes,2
4961,Albania,Production,Wheat and products,2013,1000,tonnes,294
4985,Albania,Production,Rice (Milled Equivalent),2013,1000,tonnes,0
5009,Albania,Production,Barley and products,2013,1000,tonnes,7
5033,Albania,Production,Maize and products,2013,1000,tonnes,372
5057,Albania,Production,Rye and products,2013,1000,tonnes,3
5081,Albania,Production,Oats,2013,1000,tonnes,27
5105,Albania,Production,Sorghum and products,2013,1000,tonnes,0
5129,Albania,Production,Potatoes and products,2013,1000,tonnes,237
5153,Albania,Production,Sugar beet,2013,1000,tonnes,40
5177,Albania,Production,Sugar (Raw Equivalent),2013,1000,tonnes,4
5201,Albania,Production,Honey,2013,1000,tonnes,3
5225,Albania,Production,Beans,2013,1000,tonnes,28
5249,Albania,Production,"Pulses, Other and products",2013,1000,tonnes,3
5273,Albania,Production,Nuts and products,2013,1000,tonnes,13
5297,Albania,Production,Soyabeans,2013,1000,tonnes,0
5321,Albania,Production,Sunflower seed,2013,1000,tonnes,2
5345,Albania,Production,Cottonseed,2013,1000,tonnes,1
5369,Albania,Production,Olives (including preserved),2013,1000,tonnes,92
5393,Albania,Production,Soyabean Oil,2013,1000,tonnes,0
5417,Albania,Production,Groundnut Oil,2013,1000,tonnes,0
5441,Albania,Production,Sunflowerseed Oil,2013,1000,tonnes,0
5465,Albania,Production,Cottonseed Oil,2013,1000,tonnes,0
5489,Albania,Production,Olive Oil,2013,1000,tonnes,1
5513,Albania,Production,Tomatoes and products,2013,1000,tonnes,226
5537,Albania,Production,Onions,2013,1000,tonnes,91
5561,Albania,Production,"Vegetables, Other",2013,1000,tonnes,615
5585,Albania,Production,"Oranges, Mandarines",2013,1000,tonnes,17
5609,Albania,Production,"Lemons, Limes and products",2013,1000,tonnes,3
5633,Albania,Production,"Citrus, Other",2013,1000,tonnes,0
5657,Albania,Production,Apples and products,2013,1000,tonnes,76
5681,Albania,Production,Dates,2013,1000,tonnes,12
5705,Albania,Production,Grapes and products (excl wine),2013,1000,tonnes,204
5729,Albania,Production,"Fruits, Other",2013,1000,tonnes,134
5753,Albania,Production,"Spices, Other",2013,1000,tonnes,0
5777,Albania,Production,Wine,2013,1000,tonnes,38
5801,Albania,Production,Beer,2013,1000,tonnes,58
5825,Albania,Production,"Beverages, Alcoholic",2013,1000,tonnes,8
5849,Albania,Production,Bovine Meat,2013,1000,tonnes,70
5873,Albania,Production,Mutton & Goat Meat,2013,1000,tonnes,49
5897,Albania,Production,Pigmeat,2013,1000,tonnes,17
5921,Albania,Production,Poultry Meat,2013,1000,tonnes,17
5945,Albania,Production,"Meat, Other",2013,1000,tonnes,0
5969,Albania,Production,"Offals, Edible",2013,1000,tonnes,10
5993,Albania,Production,"Butter, Ghee",2013,1000,tonnes,4
6017,Albania,Production,"Fats, Animals, Raw",2013,1000,tonnes,3
6041,Albania,Production,Eggs,2013,1000,tonnes,48
6065,Albania,Production,Milk - Excluding Butter,2013,1000,tonnes,1131
6089,Albania,Production,Freshwater Fish,2013,1000,tonnes,2
6113,Albania,Production,Demersal Fish,2013,1000,tonnes,2
6137,Albania,Production,Pelagic Fish,2013,1000,tonnes,0
6161,Albania,Production,"Marine Fish, Other",2013,1000,tonnes,1
6185,Albania,Production,Crustaceans,2013,1000,tonnes,0
6209,Albania,Production,Cephalopods,2013,1000,tonnes,0
6233,Albania,Production,"Molluscs, Other",2013,1000,tonnes,1
6257,Albania,Production,"Aquatic Animals, Others",2013,1000,tonnes,0
6281,Albania,Production,Aquatic Plants,2013,1000,tonnes,0
6305,Algeria,Production,Wheat and products,2013,1000,tonnes,3299
6329,Algeria,Production,Rice (Milled Equivalent),2013,1000,tonnes,0
6353,Algeria,Production,Barley and products,2013,1000,tonnes,1499
6377,Algeria,Production,Maize and products,2013,1000,tonnes,1
6401,Algeria,Production,Oats,2013,1000,tonnes,113
6425,Algeria,Production,Sorghum and products,2013,1000,tonnes,2
6449,Algeria,Production,"Cereals, Other",2013,1000,tonnes,0
6473,Algeria,Production,Potatoes and products,2013,1000,tonnes,4928
6497,Algeria,Production,Sugar beet,2013,1000,tonnes,0
6521,Algeria,Production,Sugar (Raw Equivalent),2013,1000,tonnes,0
6545,Algeria,Production,Honey,2013,1000,tonnes,6
6569,Algeria,Production,Beans,2013,1000,tonnes,1
6593,Algeria,Production,Peas,2013,1000,tonnes,11
6617,Algeria,Production,"Pulses, Other and products",2013,1000,tonnes,84
6641,Algeria,Production,Nuts and products,2013,1000,tonnes,35
6665,Algeria,Production,Groundnuts (Shelled Eq),2013,1000,tonnes,2
6689,Algeria,Production,Sunflower seed,2013,1000,tonnes,0
6713,Algeria,Production,Rape and Mustardseed,2013,1000,tonnes,47
6737,Algeria,Production,Cottonseed,2013,1000,tonnes,0
6761,Algeria,Production,Olives (including preserved),2013,1000,tonnes,579
6785,Algeria,Production,Groundnut Oil,2013,1000,tonnes,20
6809,Algeria,Production,Sunflowerseed Oil,2013,1000,tonnes,1
6833,Algeria,Production,Rape and Mustard Oil,2013,1000,tonnes,15
6857,Algeria,Production,Olive Oil,2013,1000,tonnes,68
6881,Algeria,Production,"Oilcrops Oil, Other",2013,1000,tonnes,3
6905,Algeria,Production,Tomatoes and products,2013,1000,tonnes,975
6929,Algeria,Production,Onions,2013,1000,tonnes,1344
6953,Algeria,Production,"Vegetables, Other",2013,1000,tonnes,4472
6977,Algeria,Production,"Oranges, Mandarines",2013,1000,tonnes,1122
7001,Algeria,Production,"Lemons, Limes and products",2013,1000,tonnes,81
7025,Algeria,Production,Grapefruit and products,2013,1000,tonnes,2
7049,Algeria,Production,"Citrus, Other",2013,1000,tonnes,1
7073,Algeria,Production,Bananas,2013,1000,tonnes,0
7097,Algeria,Production,Apples and products,2013,1000,tonnes,456
7121,Algeria,Production,Dates,2013,1000,tonnes,848
7145,Algeria,Production,Grapes and products (excl wine),2013,1000,tonnes,571
7169,Algeria,Production,"Fruits, Other",2013,1000,tonnes,1148
7193,Algeria,Production,Pimento,2013,1000,tonnes,15
7217,Algeria,Production,Wine,2013,1000,tonnes,50
7241,Algeria,Production,Beer,2013,1000,tonnes,165
7265,Algeria,Production,"Beverages, Alcoholic",2013,1000,tonnes,0
7289,Algeria,Production,Bovine Meat,2013,1000,tonnes,140
7313,Algeria,Production,Mutton & Goat Meat,2013,1000,tonnes,298
7337,Algeria,Production,Pigmeat,2013,1000,tonnes,0
7361,Algeria,Production,Poultry Meat,2013,1000,tonnes,288
7385,Algeria,Production,"Meat, Other",2013,1000,tonnes,14
7409,Algeria,Production,"Offals, Edible",2013,1000,tonnes,56
7433,Algeria,Production,"Butter, Ghee",2013,1000,tonnes,5
7457,Algeria,Production,"Fats, Animals, Raw",2013,1000,tonnes,10
7481,Algeria,Production,Eggs,2013,1000,tonnes,347
7505,Algeria,Production,Milk - Excluding Butter,2013,1000,tonnes,3129
7529,Algeria,Production,Freshwater Fish,2013,1000,tonnes,2
7553,Algeria,Production,Demersal Fish,2013,1000,tonnes,12
7577,Algeria,Production,Pelagic Fish,2013,1000,tonnes,74
7601,Algeria,Production,"Marine Fish, Other",2013,1000,tonnes,17
7625,Algeria,Production,Crustaceans,2013,1000,tonnes,2
7649,Algeria,Production,Cephalopods,2013,1000,tonnes,1
7673,Algeria,Production,"Molluscs, Other",2013,1000,tonnes,0
7697,Angola,Production,Wheat and products,2013,1000,tonnes,4
7721,Angola,Production,Rice (Milled Equivalent),2013,1000,tonnes,25
7745,Angola,Production,Maize and products,2013,1000,tonnes,1549
7769,Angola,Production,Millet and products,2013,1000,tonnes,39
7793,Angola,Production,Sorghum and products,2013,1000,tonnes,46
7817,Angola,Production,Cassava and products,2013,1000,tonnes,16412
7841,Angola,Production,Potatoes and products,2013,1000,tonnes,670
7865,Angola,Production,Sweet potatoes,2013,1000,tonnes,1200
7889,Angola,Production,Sugar cane,2013,1000,tonnes,510
7913,Angola,Production,Sugar (Raw Equivalent),2013,1000,tonnes,51
7937,Angola,Production,Honey,2013,1000,tonnes,23
7961,Angola,Production,Beans,2013,1000,tonnes,312
7985,Angola,Production,Nuts and products,2013,1000,tonnes,2
8009,Angola,Production,Soyabeans,2013,1000,tonnes,10
8033,Angola,Production,Groundnuts (Shelled Eq),2013,1000,tonnes,134
8057,Angola,Production,Sunflower seed,2013,1000,tonnes,12
8081,Angola,Production,Cottonseed,2013,1000,tonnes,3
8105,Angola,Production,Sesame seed,2013,1000,tonnes,3
8129,Angola,Production,Palm kernels,2013,1000,tonnes,23
8153,Angola,Production,"Oilcrops, Other",2013,1000,tonnes,4
8177,Angola,Production,Groundnut Oil,2013,1000,tonnes,32
8201,Angola,Production,Sunflowerseed Oil,2013,1000,tonnes,4
8225,Angola,Production,Cottonseed Oil,2013,1000,tonnes,1
8249,Angola,Production,Palmkernel Oil,2013,1000,tonnes,9
8273,Angola,Production,Palm Oil,2013,1000,tonnes,50
8297,Angola,Production,"Oilcrops Oil, Other",2013,1000,tonnes,2
8321,Angola,Production,Tomatoes and products,2013,1000,tonnes,17
8345,Angola,Production,"Vegetables, Other",2013,1000,tonnes,1511
8369,Angola,Production,"Citrus, Other",2013,1000,tonnes,304
8393,Angola,Production,Bananas,2013,1000,tonnes,3095
8417,Angola,Production,Pineapples and products,2013,1000,tonnes,479
8441,Angola,Production,"Fruits, Other",2013,1000,tonnes,40
8465,Angola,Production,Coffee and products,2013,1000,tonnes,13
8489,Angola,Production,Cocoa Beans and products,2013,1000,tonnes,0
8513,Angola,Production,Beer,2013,1000,tonnes,1050
8537,Angola,Production,"Beverages, Fermented",2013,1000,tonnes,446
8561,Angola,Production,"Beverages, Alcoholic",2013,1000,tonnes,8
8585,Angola,Production,Bovine Meat,2013,1000,tonnes,105
8609,Angola,Production,Mutton & Goat Meat,2013,1000,tonnes,23
8633,Angola,Production,Pigmeat,2013,1000,tonnes,94
8657,Angola,Production,Poultry Meat,2013,1000,tonnes,30
8681,Angola,Production,"Meat, Other",2013,1000,tonnes,9
8705,Angola,Production,"Offals, Edible",2013,1000,tonnes,25
8729,Angola,Production,"Butter, Ghee",2013,1000,tonnes,1
8753,Angola,Production,"Fats, Animals, Raw",2013,1000,tonnes,8
8777,Angola,Production,"Fish, Body Oil",2013,1000,tonnes,4
8801,Angola,Production,Eggs,2013,1000,tonnes,5
8825,Angola,Production,Milk - Excluding Butter,2013,1000,tonnes,187
8849,Angola,Production,Freshwater Fish,2013,1000,tonnes,19
8873,Angola,Production,Demersal Fish,2013,1000,tonnes,111
8897,Angola,Production,Pelagic Fish,2013,1000,tonnes,103
8921,Angola,Production,"Marine Fish, Other",2013,1000,tonnes,38
8945,Angola,Production,Crustaceans,2013,1000,tonnes,1
8969,Angola,Production,Cephalopods,2013,1000,tonnes,1
8993,Antigua and Barbuda,Production,Maize and products,2013,1000,tonnes,0
9017,Antigua and Barbuda,Production,Cassava and products,2013,1000,tonnes,0
9041,Antigua and Barbuda,Production,Sweet potatoes,2013,1000,tonnes,0
9065,Antigua and Barbuda,Production,Yams,2013,1000,tonnes,0
9089,Antigua and Barbuda,Production,"Roots, Other",2013,1000,tonnes,0
9113,Antigua and Barbuda,Production,Sugar cane,2013,1000,tonnes,0
9137,Antigua and Barbuda,Production,Sugar (Raw Equivalent),2013,1000,tonnes,0
9161,Antigua and Barbuda,Production,Cottonseed,2013,1000,tonnes,0
9185,Antigua and Barbuda,Production,Cottonseed Oil,2013,1000,tonnes,0
9209,Antigua and Barbuda,Production,Tomatoes and products,2013,1000,tonnes,0
9233,Antigua and Barbuda,Production,Onions,2013,1000,tonnes,0
9257,Antigua and Barbuda,Production,"Vegetables, Other",2013,1000,tonnes,3
9281,Antigua and Barbuda,Production,"Lemons, Limes and products",2013,1000,tonnes,0
9305,Antigua and Barbuda,Production,Bananas,2013,1000,tonnes,0
9329,Antigua and Barbuda,Production,Pineapples and products,2013,1000,tonnes,0
9353,Antigua and Barbuda,Production,"Fruits, Other",2013,1000,tonnes,8
9377,Antigua and Barbuda,Production,Beer,2013,1000,tonnes,0
9401,Antigua and Barbuda,Production,"Beverages, Alcoholic",2013,1000,tonnes,0
9425,Antigua and Barbuda,Production,Bovine Meat,2013,1000,tonnes,1
9449,Antigua and Barbuda,Production,Mutton & Goat Meat,2013,1000,tonnes,0
9473,Antigua and Barbuda,Production,Pigmeat,2013,1000,tonnes,0
9497,Antigua and Barbuda,Production,Poultry Meat,2013,1000,tonnes,0
9521,Antigua and Barbuda,Production,"Offals, Edible",2013,1000,tonnes,0
9545,Antigua and Barbuda,Production,"Fats, Animals, Raw",2013,1000,tonnes,0
9569,Antigua and Barbuda,Production,"Fish, Body Oil",2013,1000,tonnes,0
9593,Antigua and Barbuda,Production,Eggs,2013,1000,tonnes,0
9617,Antigua and Barbuda,Production,Milk - Excluding Butter,2013,1000,tonnes,6
