FW_ID,Country,Element,Item,Year,Unit,Unit_Type,Value
1,Afghanistan,Total Population - Both sexes,Population,2013,1000,persons,30552
2,Albania,Total Population - Both sexes,Population,2013,1000,persons,3173
3,Algeria,Total Population - Both sexes,Population,2013,1000,persons,39208
4,Angola,Total Population - Both sexes,Population,2013,1000,persons,21472
115,Antigua and Barbuda,Total Population - Both sexes,Population,2013,1000,persons,90
138,Argentina,Total Population - Both sexes,Population,2013,1000,persons,41446
160,Armenia,Total Population - Both sexes,Population,2013,1000,persons,2977
183,Australia,Total Population - Both sexes,Population,2013,1000,persons,23343
206,Austria,Total Population - Both sexes,Population,2013,1000,persons,8495
228,Azerbaijan,Total Population - Both sexes,Population,2013,1000,persons,9413
251,Bahamas,Total Population - Both sexes,Population,2013,1000,persons,377
274,Bangladesh,Total Population - Both sexes,Population,2013,1000,persons,156595
297,Barbados,Total Population - Both sexes,Population,2013,1000,persons,285
319,Belarus,Total Population - Both sexes,Population,2013,1000,persons,9357
333,Belgium,Total Population - Both sexes,Population,2013,1000,persons,11104
365,Belize,Total Population - Both sexes,Population,2013,1000,persons,332
388,Benin,Total Population - Both sexes,Population,2013,1000,persons,10323
411,Bermuda,Total Population - Both sexes,Population,2013,1000,persons,65
434,Bolivia (Plurinational State of),Total Population - Both sexes,Population,2013,1000,persons,10671
456,Bosnia and Herzegovina,Total Population - Both sexes,Population,2013,1000,persons,3829
479,Botswana,Total Population - Both sexes,Population,2013,1000,persons,2021
502,Brazil,Total Population - Both sexes,Population,2013,1000,persons,200362
525,Brunei Darussalam,Total Population - Both sexes,Population,2013,1000,persons,418
548,Bulgaria,Total Population - Both sexes,Population,2013,1000,persons,7223
571,Burkina Faso,Total Population - Both sexes,Population,2013,1000,persons,16935
594,Cabo Verde,Total Population - Both sexes,Population,2013,1000,persons,499
617,Cambodia,Total Population - Both sexes,Population,2013,1000,persons,15135
640,Cameroon,Total Population - Both sexes,Population,2013,1000,persons,22254
663,Canada,Total Population - Both sexes,Population,2013,1000,persons,35182
686,Central African Republic,Total Population - Both sexes,Population,2013,1000,persons,4616
709,Chad,Total Population - Both sexes,Population,2013,1000,persons,12825
732,Chile,Total Population - Both sexes,Population,2013,1000,persons,17620
755,"China, Hong Kong SAR",Total Population - Both sexes,Population,2013,1000,persons,7204
778,"China, Macao SAR",Total Population - Both sexes,Population,2013,1000,persons,566
801,"China, mainland",Total Population - Both sexes,Population,2013,1000,persons,1385567
824,"China, Taiwan Province of",Total Population - Both sexes,Population,2013,1000,persons,23330
847,Colombia,Total Population - Both sexes,Population,2013,1000,persons,48321
870,Congo,Total Population - Both sexes,Population,2013,1000,persons,4448
893,Costa Rica,Total Population - Both sexes,Population,2013,1000,persons,4872
916,Côte d'Ivoire,Total Population - Both sexes,Population,2013,1000,persons,20316
938,Croatia,Total Population - Both sexes,Population,2013,1000,persons,4290
961,Cuba,Total Population - Both sexes,Population,2013,1000,persons,11266
984,Cyprus,Total Population - Both sexes,Population,2013,1000,persons,1141
1005,Czechia,Total Population - Both sexes,Population,2013,1000,persons,10702
1030,Democratic People's Republic of Korea,Total Population - Both sexes,Population,2013,1000,persons,24895
1053,Denmark,Total Population - Both sexes,Population,2013,1000,persons,5619
1076,Djibouti,Total Population - Both sexes,Population,2013,1000,persons,873
1099,Dominica,Total Population - Both sexes,Population,2013,1000,persons,72
1122,Dominican Republic,Total Population - Both sexes,Population,2013,1000,persons,10404
1145,Ecuador,Total Population - Both sexes,Population,2013,1000,persons,15738
1168,Egypt,Total Population - Both sexes,Population,2013,1000,persons,82056
1191,El Salvador,Total Population - Both sexes,Population,2013,1000,persons,6340
1213,Estonia,Total Population - Both sexes,Population,2013,1000,persons,1287
