Date,AMZN,BA,DIS,IBM,KO,MSFT
2014-03-27,338.47,106.99,72.66,153.73,32.75,34.89
2014-03-28,338.29,108.08,73.13,154.23,32.86,35.72
2014-03-31,336.37,108.97,74.13,155.88,32.62,36.33
2014-04-01,342.99,111.33,75.52,157.51,32.41,36.71
2014-04-02,341.96,111.42,75.61,156.74,32.34,36.65
2014-04-03,333.62,111.83,75.63,156.04,32.12,36.35
2014-04-04,323.0,110.61,74.46,155.3,32.25,35.34
2014-04-07,317.76,109.06,73.26,157.52,32.59,35.28
2014-04-08,327.07,107.81,73.67,156.53,32.82,35.29
2014-04-09,331.81,110.18,74.5,159.24,32.9,35.87
2014-04-10,317.11,107.37,71.76,158.46,32.81,34.89
2014-04-11,311.73,106.0,71.3,158.07,32.59,34.75
2014-04-14,315.91,107.03,71.86,160.15,32.68,34.73
2014-04-15,316.08,107.91,71.9,159.55,33.9,35.23
2014-04-16,323.68,109.45,73.09,159.05,34.25,35.81
2014-04-17,324.91,111.08,74.06,153.87,34.36,35.46
2014-04-21,330.87,111.0,73.24,155.7,34.38,35.4
2014-04-22,329.32,110.76,73.56,155.6,34.35,35.44
2014-04-23,324.58,113.44,73.62,155.26,34.37,35.18
2014-04-24,337.15,112.77,73.69,154.04,34.34,35.33
2014-04-25,303.83,111.72,72.43,153.56,34.6,35.37
2014-04-28,296.58,110.32,72.01,156.41,34.62,36.22
2014-04-29,300.38,111.47,72.81,158.0,34.23,35.9
2014-04-30,304.13,112.04,73.46,159.1,34.42,35.81
2014-05-01,307.89,111.55,73.66,156.72,34.41,35.45
2014-05-02,308.01,112.84,74.35,155.03,34.55,35.18
2014-05-05,310.05,114.59,75.2,154.88,34.39,34.95
2014-05-06,297.38,113.61,75.02,153.89,34.16,34.62
2014-05-07,292.71,113.83,74.33,154.19,34.52,34.94
2014-05-08,288.32,114.02,75.55,153.87,34.37,35.13
2014-05-09,292.24,114.48,75.87,154.82,34.48,35.05
2014-05-12,302.86,115.79,76.31,156.85,34.44,35.43
2014-05-13,304.64,116.53,75.99,156.54,34.69,36.08
2014-05-14,297.62,116.13,74.92,153.72,34.5,35.92
2014-05-15,295.19,114.58,74.21,151.88,34.19,35.35
2014-05-16,297.7,114.23,74.43,152.36,34.5,35.55
2014-05-19,296.76,114.7,75.04,152.32,34.35,35.48
2014-05-20,301.19,113.15,75.08,150.6,34.24,35.42
2014-05-21,305.01,114.36,76.09,151.82,34.48,36.02
2014-05-22,304.91,115.13,76.24,151.24,34.24,35.79
2014-05-23,312.24,115.63,77.14,151.45,34.24,35.81
2014-05-27,310.82,117.16,77.53,150.51,34.4,35.87
2014-05-28,310.16,117.3,77.4,149.12,34.24,35.71
2014-05-29,313.78,118.01,77.8,149.68,34.31,36.01
2014-05-30,312.55,118.11,77.78,150.16,34.52,36.54
2014-06-02,308.84,118.67,78.02,151.25,34.48,36.41
2014-06-03,307.19,118.66,77.66,150.17,34.49,35.96
2014-06-04,306.78,118.18,77.99,150.29,34.42,35.99
2014-06-05,323.57,119.48,78.49,151.48,34.5,36.78
2014-06-06,329.67,120.73,78.33,151.8,34.59,37.02
2014-06-09,327.5,120.47,79.14,151.68,34.52,36.84
2014-06-10,332.41,119.85,78.46,150.11,34.65,36.69
2014-06-11,335.2,117.1,78.06,148.45,34.48,36.47
2014-06-12,325.91,115.43,76.66,147.61,34.36,36.22
2014-06-13,326.27,115.52,76.66,148.7,34.32,36.8
2014-06-16,327.62,115.74,77.12,148.53,34.57,37.04
2014-06-17,325.62,115.66,76.99,148.45,34.79,37.2
2014-06-18,334.38,115.69,77.38,149.55,35.33,37.18
2014-06-19,327.0,115.98,77.56,148.91,35.53,37.05
2014-06-20,324.2,115.36,76.68,147.88,35.44,37.2
2014-06-23,327.24,114.26,76.62,148.36,35.47,37.48
2014-06-24,324.16,112.78,76.55,147.33,35.58,37.26
2014-06-25,327.44,110.95,77.68,147.2,35.67,37.51
2014-06-26,325.69,111.79,78.19,146.91,35.73,37.24
2014-06-27,324.57,112.25,78.97,148.01,35.87,37.71
2014-06-30,324.78,111.1,79.38,147.65,36.01,37.22
2014-07-01,332.39,111.91,80.06,151.79,35.95,37.37
2014-07-02,332.85,111.44,80.03,153.45,35.95,37.4
2014-07-03,337.49,112.22,80.4,153.56,35.9,37.31
2014-07-07,333.55,112.73,80.17,153.16,35.82,37.48
2014-07-08,323.81,110.72,79.49,152.49,35.65,37.29
2014-07-09,329.97,110.72,80.75,153.47,35.66,37.19
2014-07-10,327.92,110.72,80.42,152.89,35.93,37.21
2014-07-11,346.2,111.85,80.45,153.13,35.68,37.57
2014-07-14,355.32,113.1,80.33,154.64,36.03,37.61
2014-07-15,354.44,112.74,79.76,153.53,35.79,37.89
2014-07-16,355.9,111.27,79.02,156.68,35.81,39.34
2014-07-17,352.45,109.92,78.72,156.79,35.72,39.75
2014-07-18,358.66,111.46,79.45,156.79,36.07,39.89
2014-07-21,359.76,112.04,79.38,155.45,36.04,40.02
2014-07-22,360.84,113.29,79.82,158.09,35.02,40.01
2014-07-23,358.14,110.65,79.66,157.72,34.69,40.05
2014-07-24,358.61,108.63,80.36,159.03,34.83,39.63
2014-07-25,324.01,107.58,79.83,158.34,34.85,39.72
2014-07-28,320.41,107.46,80.69,159.47,34.58,39.25
2014-07-29,320.0,106.82,79.81,158.48,34.3,39.18
2014-07-30,322.51,106.79,80.74,158.02,33.68,38.9
2014-07-31,312.99,105.21,79.51,156.12,33.4,38.52
2014-08-01,307.06,105.12,79.05,154.07,33.4,38.26
2014-08-04,313.65,104.73,80.77,154.47,33.49,38.71
2014-08-05,312.32,105.9,80.32,152.4,33.31,38.45
2014-08-06,313.89,103.97,80.17,152.37,33.94,38.15
2014-08-07,311.45,105.28,79.17,151.0,33.45,38.59
2014-08-08,316.8,105.98,80.41,152.91,33.54,38.56
2014-08-11,318.33,106.13,81.01,153.6,33.64,38.56
2014-08-12,319.32,105.84,80.74,153.49,33.73,38.84
2014-08-13,326.28,107.16,81.1,153.99,33.95,39.34
2014-08-14,333.21,109.03,82.04,153.94,34.16,39.51
2014-08-15,333.63,108.2,82.66,153.53,34.75,39.98
2014-08-18,334.53,109.8,83.3,155.15,35.15,40.26
2014-08-19,335.13,110.33,83.41,155.73,35.08,40.71
2014-08-20,335.78,111.88,83.18,155.76,35.07,40.37
2014-08-21,332.91,112.01,83.68,156.68,35.2,40.61
2014-08-22,331.59,111.98,83.78,156.01,34.96,40.55
2014-08-25,334.02,112.74,83.68,156.62,35.2,40.57
2014-08-26,341.83,112.98,83.34,158.12,35.36,40.43
2014-08-27,343.18,112.63,83.67,157.52,35.36,40.3
2014-08-28,340.02,111.67,83.54,157.31,35.39,40.31
2014-08-29,339.04,111.4,83.21,157.56,35.47,40.8
2014-09-02,342.38,110.24,84.07,156.95,35.4,40.5
2014-09-03,339.0,110.64,84.19,157.27,35.52,40.38
2014-09-04,345.95,110.22,83.45,156.23,35.59,40.65
2014-09-05,346.38,109.54,84.19,156.66,35.57,41.23
2014-09-08,342.34,112.43,83.84,155.79,35.52,41.74
2014-09-09,329.75,112.64,82.95,155.67,35.65,42.0
2014-09-10,331.33,112.65,82.88,156.94,35.85,42.07
2014-09-11,330.52,112.14,83.3,157.08,35.92,42.21
2014-09-12,331.19,111.53,83.02,156.72,35.5,41.94
2014-09-15,323.89,110.97,83.4,157.16,35.54,41.53
2014-09-16,327.76,111.85,83.57,158.1,35.66,42.0
2014-09-17,324.0,112.24,83.63,157.97,35.63,41.78
2014-09-18,325.0,112.96,83.64,158.75,35.78,41.93
2014-09-19,331.32,113.64,83.78,158.95,36.01,42.68
2014-09-22,324.5,112.99,82.67,158.22,36.15,42.27
2014-09-23,323.63,111.91,81.76,157.0,35.87,41.82
2014-09-24,328.21,112.96,82.82,157.57,36.2,42.28
2014-09-25,321.93,111.7,81.54,154.86,35.78,41.35
2014-09-26,323.21,113.06,82.16,155.72,36.14,41.68
2014-09-29,321.82,113.13,82.24,155.38,36.18,41.71
2014-09-30,322.44,111.91,82.43,155.53,36.53,41.64
2014-10-01,317.46,109.53,81.0,153.36,36.6,41.23
2014-10-02,318.41,109.09,80.35,153.14,36.53,41.1
2014-10-03,322.74,111.01,81.89,154.58,36.82,41.4
2014-10-06,322.2,110.92,81.99,154.89,37.33,41.4
2014-10-07,316.98,108.34,80.65,152.16,37.61,40.89
2014-10-08,322.7,109.8,81.57,155.15,38.15,42.02
2014-10-09,315.37,107.85,79.35,152.74,37.57,41.18
2014-10-10,311.39,106.74,79.87,152.34,38.08,39.55
2014-10-13,306.45,105.82,77.69,150.36,37.74,39.2
2014-10-14,308.31,107.44,77.9,150.59,37.37,39.28
2014-10-15,305.97,105.59,75.99,148.91,37.02,38.82
2014-10-16,302.86,105.68,75.68,147.35,36.44,38.39
2014-10-17,303.64,108.27,77.61,149.16,36.72,39.19
2014-10-20,306.21,109.21,79.18,138.55,37.07,39.59
2014-10-21,315.33,111.68,81.05,133.74,34.83,40.31
2014-10-22,312.97,106.7,80.64,132.56,34.78,39.86
2014-10-23,313.18,107.21,81.46,132.88,34.99,40.43
2014-10-24,287.06,107.39,82.04,132.8,35.13,41.43
2014-10-27,289.97,107.29,81.89,132.63,34.9,41.23
2014-10-28,295.59,108.6,83.26,134.04,34.73,41.75
2014-10-29,294.12,108.13,82.89,133.93,35.07,41.87
2014-10-30,299.07,108.78,83.53,134.66,35.45,41.36
2014-10-31,305.46,109.74,84.6,134.7,35.86,42.17
2014-11-03,305.72,110.72,84.91,134.67,35.8,42.61
2014-11-04,302.81,110.55,83.65,133.27,35.81,42.72
2014-11-05,296.52,109.77,84.25,132.58,36.23,42.99
2014-11-06,296.64,110.09,85.18,133.2,36.21,43.74
2014-11-07,299.86,109.97,83.32,133.7,36.24,43.72
2014-11-10,305.11,110.14,83.12,134.87,36.3,43.91
2014-11-11,312.01,110.78,83.31,134.71,36.4,43.89
2014-11-12,311.51,111.23,83.23,133.57,36.57,43.81
2014-11-13,316.48,113.58,83.78,134.29,36.64,44.56
2014-11-14,327.82,113.87,84.07,135.42,36.59,44.53
2014-11-17,323.05,113.48,83.7,135.42,36.75,44.42
2014-11-18,324.93,115.46,83.58,133.55,37.27,44.05
2014-11-19,326.54,116.3,83.16,133.17,37.87,43.58
2014-11-20,330.54,116.38,82.31,132.52,37.89,44.02
2014-11-21,332.63,117.33,82.36,132.75,38.11,43.36
2014-11-24,335.64,118.95,83.86,133.76,37.91,43.01
2014-11-25,335.04,119.13,84.85,133.44,38.05,42.9
2014-11-26,333.57,119.1,85.1,133.6,38.19,43.16
2014-11-28,338.64,118.73,85.65,133.78,38.65,43.21
2014-12-01,326.0,116.99,85.82,133.26,38.41,43.94
2014-12-02,326.31,116.89,86.54,134.19,38.4,43.8
2014-12-03,316.5,116.62,86.2,135.72,37.76,43.46
2014-12-04,316.93,116.04,86.32,135.33,37.51,44.14
2014-12-05,312.63,116.83,86.81,134.69,37.53,43.76
2014-12-08,306.64,115.12,86.84,133.53,37.2,43.11
2014-12-09,312.5,114.58,86.05,134.46,36.25,43.01
2014-12-10,305.84,110.14,84.83,132.41,35.87,42.39
2014-12-11,307.36,109.02,86.02,132.87,35.81,42.63
2014-12-12,307.32,106.72,85.78,128.18,35.27,42.43
2014-12-15,306.07,107.88,85.23,126.27,34.98,42.18
2014-12-16,295.06,109.79,84.54,124.9,34.82,40.82
2014-12-17,298.88,110.51,85.68,125.33,35.82,41.34
2014-12-18,297.73,111.05,86.83,130.08,36.55,42.95
2014-12-19,299.9,111.54,87.09,130.76,36.17,43.08
2014-12-22,306.54,113.3,88.32,133.18,36.51,43.36
2014-12-23,306.29,114.9,88.78,133.84,37.05,43.79
2014-12-24,303.03,115.97,88.53,133.49,37.02,43.51
2014-12-26,309.09,116.32,89.1,133.92,37.04,43.27
2014-12-29,312.04,116.9,89.54,132.41,36.95,42.89
2014-12-30,310.3,116.49,88.79,132.03,36.87,42.5
2014-12-31,310.35,114.86,88.31,132.35,36.4,41.98
2015-01-02,308.52,114.83,87.9,133.69,36.33,42.26
2015-01-05,302.19,114.04,86.62,131.59,36.33,41.87
2015-01-06,295.29,112.69,86.16,128.75,36.61,41.26
2015-01-07,298.42,114.44,87.04,127.91,37.07,41.78
2015-01-08,300.46,116.47,87.94,130.69,37.51,43.01
2015-01-09,296.93,116.24,88.37,131.26,37.1,42.65
2015-01-12,291.41,115.64,88.57,129.05,36.76,42.12
2015-01-13,294.74,115.91,89.25,129.36,36.76,41.9
2015-01-14,293.27,115.21,88.35,128.53,36.7,41.54
2015-01-15,286.95,115.0,88.46,127.51,36.54,41.11
2015-01-16,290.74,115.56,89.24,129.63,36.67,41.79
2015-01-20,289.44,115.95,88.83,129.47,37.21,41.93
2015-01-21,297.25,117.01,88.29,125.47,37.39,41.5
2015-01-22,310.32,119.86,89.21,128.19,37.75,42.6
2015-01-23,312.39,118.96,88.81,128.58,37.34,42.64
2015-01-26,309.66,118.47,89.04,128.99,37.08,42.49
2015-01-27,306.75,117.07,88.11,126.77,36.55,38.56
2015-01-28,303.91,123.39,86.89,125.02,36.14,37.23
2015-01-29,311.78,130.59,87.4,128.26,36.3,37.97
2015-01-30,354.53,128.46,85.28,126.47,35.5,36.51
2015-02-02,364.47,129.24,86.19,127.59,35.86,37.31
2015-02-03,363.55,130.2,88.23,130.73,35.89,37.6
2015-02-04,364.75,130.09,94.96,129.48,35.94,37.82
2015-02-05,373.89,131.31,96.23,130.27,36.03,38.37
2015-02-06,374.28,130.78,95.65,130.19,35.74,38.33
2015-02-09,370.56,130.41,95.38,129.39,35.55,38.29
2015-02-10,373.0,130.82,95.56,131.72,36.56,38.5
2015-02-11,375.14,131.52,95.51,131.42,36.53,38.3
2015-02-12,377.17,131.67,97.12,131.69,36.36,38.95
2015-02-13,381.83,133.13,97.67,133.25,36.2,39.65
2015-02-17,375.43,133.3,97.62,133.71,36.05,39.67
2015-02-18,373.37,134.41,97.38,134.74,35.98,39.62
2015-02-19,379.0,136.7,97.41,136.15,36.31,39.6
2015-02-20,383.66,140.76,98.03,135.95,36.19,39.92
2015-02-23,380.14,137.58,98.44,135.33,36.08,40.19
2015-02-24,378.59,137.26,98.14,136.93,36.33,40.13
2015-02-25,385.37,136.04,98.98,135.25,36.26,40.04
2015-02-26,384.8,134.91,98.04,133.64,36.61,40.11
2015-02-27,380.16,134.12,97.59,134.53,37.33,39.91
2015-03-02,385.66,136.75,99.28,133.32,37.25,39.94
2015-03-03,384.61,138.32,99.71,133.77,37.03,39.4
2015-03-04,382.72,137.24,98.98,132.44,36.64,39.2
2015-03-05,387.83,137.34,98.48,133.9,36.56,39.24
2015-03-06,380.09,136.14,97.34,131.67,35.8,38.56
2015-03-09,378.56,137.59,98.69,133.56,35.69,39.0
2015-03-10,369.51,135.52,96.66,131.1,35.08,38.26
2015-03-11,366.37,134.41,96.47,130.26,34.57,38.21
2015-03-12,374.24,135.18,100.48,131.24,35.27,37.34
2015-03-13,370.58,134.76,99.8,128.17,34.7,37.67
2015-03-16,373.35,136.63,100.67,130.49,35.03,37.83
2015-03-17,371.92,137.38,100.29,130.39,35.22,37.96
2015-03-18,375.14,138.46,101.23,132.76,35.3,38.69
2015-03-19,373.24,137.02,100.67,132.76,34.79,38.49
2015-03-20,378.49,137.37,101.66,135.31,35.34,39.03
2015-03-23,375.11,135.87,101.47,136.76,35.31,39.01
2015-03-24,374.09,134.84,100.43,135.41,35.18,39.05
2015-03-25,370.96,131.79,98.45,132.25,35.17,37.74
2015-03-26,367.35,131.74,98.67,133.41,35.08,37.51
2015-03-27,370.56,132.35,98.9,133.25,34.84,37.29
2015-03-30,374.59,135.77,99.5,135.13,35.22,37.28
2015-03-31,372.1,133.44,98.34,133.33,35.25,37.01
2015-04-01,370.26,132.16,98.86,132.24,35.37,37.07
2015-04-02,372.25,132.73,99.39,133.29,35.37,36.67
2015-04-06,377.04,134.2,99.04,134.61,35.79,37.82
2015-04-07,374.41,135.43,98.85,134.64,35.65,37.8
2015-04-08,381.2,136.36,99.72,134.45,35.55,37.7
2015-04-09,383.54,136.41,100.11,134.86,35.69,37.76
2015-04-10,382.65,137.26,100.28,135.29,35.54,37.98
2015-04-13,382.36,136.25,99.86,134.89,35.38,38.01
2015-04-14,385.11,136.22,100.0,134.83,35.22,37.91
2015-04-15,383.45,135.53,100.3,136.35,35.12,38.47
2015-04-16,386.04,135.12,101.35,135.52,35.3,38.38
2015-04-17,375.56,133.01,100.03,133.47,35.04,37.88
2015-04-20,389.51,135.74,101.47,138.03,35.35,39.06
2015-04-21,391.18,136.33,100.96,136.46,35.45,38.81
2015-04-22,389.8,134.43,101.2,137.37,35.91,39.13
2015-04-23,389.99,133.25,102.2,141.42,35.6,39.45
2015-04-24,445.1,131.95,102.7,141.04,35.55,43.57
2015-04-27,438.56,131.41,103.29,141.83,35.5,43.72
2015-04-28,429.31,131.15,103.06,144.48,35.44,44.75
2015-04-29,429.37,129.95,102.96,144.88,35.2,44.66
2015-04-30,421.78,127.45,101.94,142.3,35.26,44.27
2015-05-01,422.87,128.63,103.62,144.27,35.57,44.29
2015-05-04,423.04,128.05,104.1,144.52,35.61,43.91
2015-05-05,421.19,127.06,103.9,143.78,35.43,43.33
2015-05-06,419.1,126.21,102.87,142.33,35.35,42.13
2015-05-07,426.88,126.61,102.44,144.22,35.38,42.51
2015-05-08,433.69,130.16,103.24,145.65,35.63,43.46
2015-05-11,432.85,130.55,101.82,144.33,35.59,43.12
2015-05-12,431.02,130.13,102.42,143.85,35.37,43.1
2015-05-13,426.87,130.3,102.38,145.31,35.69,43.35
2015-05-14,432.28,132.4,103.07,146.81,36.08,44.35
2015-05-15,426.0,131.43,103.42,146.14,36.1,43.96
2015-05-18,425.24,131.28,103.45,145.97,35.92,43.7
2015-05-19,421.71,131.58,103.66,146.32,35.91,43.59
2015-05-20,423.86,131.02,103.32,146.56,35.95,43.59
2015-05-21,431.63,131.85,103.5,146.21,35.84,43.44
2015-05-22,427.63,129.58,103.38,145.26,35.83,42.97
2015-05-26,425.47,127.78,102.61,143.5,35.64,42.68
2015-05-27,431.42,127.96,103.48,145.08,35.75,43.62
2015-05-28,426.57,127.36,103.63,144.83,35.77,43.47
2015-05-29,429.23,125.74,103.48,143.09,35.61,42.93
2015-06-01,430.92,126.39,104.04,143.54,35.59,43.27
2015-06-02,430.99,128.18,103.84,143.09,35.64,42.99
2015-06-03,436.59,128.68,104.23,143.32,35.53,42.92
2015-06-04,430.78,126.34,103.42,142.02,35.29,42.47
2015-06-05,426.95,125.93,103.42,141.2,34.86,42.27
2015-06-08,423.5,125.85,102.47,139.46,34.91,41.9
2015-06-09,425.48,125.36,101.75,139.75,34.95,41.82
2015-06-10,430.77,126.72,103.14,142.48,35.06,42.7
2015-06-11,432.97,127.92,103.72,142.36,35.15,42.55
2015-06-12,429.92,127.78,103.09,140.85,35.03,42.12
2015-06-15,423.67,127.32,103.3,140.23,34.7,41.67
2015-06-16,427.26,127.37,104.13,140.72,35.13,41.99
2015-06-17,427.81,128.34,104.53,141.0,35.3,42.12
2015-06-18,439.39,130.09,106.15,141.91,35.63,42.8
2015-06-19,434.92,129.87,105.59,140.85,35.41,42.24
2015-06-22,436.29,130.38,106.45,141.47,35.48,42.35
2015-06-23,445.99,129.24,107.27,142.23,35.39,42.06
2015-06-24,440.84,127.96,106.67,140.83,35.23,41.81
2015-06-25,440.1,127.47,107.31,140.08,35.08,41.82
2015-06-26,438.1,127.49,107.81,139.56,35.06,41.47
2015-06-29,429.86,124.14,106.0,137.46,34.54,40.65
2015-06-30,434.09,124.13,107.02,137.2,34.39,40.45
2015-07-01,437.39,125.93,108.57,138.74,34.62,40.72
2015-07-02,437.71,125.46,108.42,139.25,34.61,40.68
2015-07-06,436.04,125.74,109.11,138.94,34.55,40.67
2015-07-07,436.72,128.09,110.43,139.17,35.28,40.59
2015-07-08,429.7,126.99,108.63,137.62,34.94,40.53
2015-07-09,434.39,127.78,109.02,138.2,34.99,40.79
2015-07-10,443.51,129.28,109.81,140.82,35.4,40.87
2015-07-13,455.57,131.2,111.33,142.87,35.64,41.72
2015-07-14,465.57,132.21,111.14,142.22,36.09,41.8
2015-07-15,461.19,131.44,111.56,142.15,36.05,41.92
2015-07-16,475.48,132.87,112.29,144.23,36.36,42.75
2015-07-17,483.01,131.4,112.09,145.51,36.16,42.71
2015-07-20,488.1,131.29,112.77,146.11,36.27,42.99
2015-07-21,488.0,129.75,112.52,137.54,36.1,43.32
2015-07-22,488.27,131.06,112.53,135.25,35.85,41.72
2015-07-23,482.18,130.74,112.03,136.41,35.8,42.24
2015-07-24,529.42,128.91,112.14,134.74,35.45,42.09
2015-07-27,531.41,126.2,111.52,134.17,35.53,41.55
2015-07-28,526.03,126.89,111.71,135.0,35.54,41.54
2015-07-29,529.0,128.98,113.02,135.87,35.58,42.41
2015-07-30,536.76,127.97,113.19,135.76,35.55,42.95
2015-07-31,536.15,129.01,113.17,136.63,36.01,42.78
2015-08-03,535.03,128.58,114.22,133.87,36.41,42.89
2015-08-04,531.9,128.44,114.76,132.93,36.68,43.55
2015-08-05,537.01,130.53,104.24,133.18,36.92,43.59
2015-08-06,529.46,129.51,102.37,132.95,36.74,42.71
2015-08-07,522.62,128.25,103.12,131.92,36.61,42.82
2015-08-10,524.0,131.35,104.68,133.31,36.53,43.36
2015-08-11,527.46,129.72,101.85,132.26,36.36,42.52
2015-08-12,525.91,128.26,100.9,132.81,36.17,42.82
2015-08-13,529.66,130.41,101.4,131.88,36.03,42.81
2015-08-14,531.52,130.66,101.06,132.46,36.16,43.06
2015-08-17,535.22,130.07,102.84,132.94,36.24,43.35
2015-08-18,535.02,130.22,100.85,132.68,36.2,43.59
2015-08-19,532.92,128.52,100.39,130.92,35.75,42.98
2015-08-20,515.78,123.39,94.32,129.83,35.54,42.11
2015-08-21,494.47,118.61,93.21,126.59,34.65,39.72
2015-08-24,463.37,114.54,89.93,122.02,33.64,38.44
2015-08-25,466.37,113.01,90.43,119.88,33.3,37.32
2015-08-26,500.77,116.47,93.58,124.76,33.95,39.39
2015-08-27,518.37,118.75,96.35,126.33,34.42,40.48
2015-08-28,518.01,119.99,96.64,125.85,34.58,40.51
2015-08-31,512.89,117.68,96.08,125.78,34.47,40.13
2015-09-01,496.54,114.76,93.84,121.34,33.97,38.57
2015-09-02,510.55,117.64,96.09,123.36,34.1,39.99
2015-09-03,504.72,117.99,96.18,124.83,34.33,40.12
2015-09-04,499.0,116.85,95.22,122.21,33.76,39.3
2015-09-08,517.54,120.51,98.09,125.21,34.1,40.48
2015-09-09,516.89,119.46,96.11,123.36,33.57,39.72
2015-09-10,522.24,120.27,96.76,124.34,33.68,39.92
2015-09-11,529.44,121.27,98.53,125.33,33.71,40.1
2015-09-14,521.38,121.06,97.91,123.87,33.69,39.69
2015-09-15,522.37,122.74,97.54,125.47,34.04,40.56
2015-09-16,527.39,123.55,98.04,126.22,34.61,40.85
2015-09-17,538.87,123.78,98.27,125.99,34.82,40.81
2015-09-18,540.26,122.55,96.98,122.9,34.46,40.1
2015-09-21,548.39,122.49,97.52,124.58,34.65,40.68
2015-09-22,538.4,120.66,96.65,122.83,34.3,40.48
2015-09-23,536.07,118.57,95.79,122.18,34.27,40.46
2015-09-24,533.75,116.84,94.89,122.82,34.61,40.49
2015-09-25,524.25,117.98,94.59,123.67,35.03,40.52
2015-09-28,504.06,115.38,92.88,121.21,34.95,39.92
2015-09-29,496.07,115.94,93.76,121.17,35.06,40.06
2015-09-30,511.89,117.92,96.38,123.29,35.47,40.82
2015-10-01,520.72,117.62,96.82,122.12,35.19,41.14
2015-10-02,532.54,119.37,97.13,122.96,35.71,42.02
2015-10-05,543.68,120.69,97.94,126.75,36.26,43.0
2015-10-06,537.48,121.24,97.86,126.53,36.21,43.11
2015-10-07,541.94,123.39,97.5,127.65,36.71,43.16
2015-10-08,533.16,125.21,98.65,129.51,37.12,43.76
2015-10-09,539.8,125.8,99.55,129.6,37.15,43.44
2015-10-12,550.19,126.69,100.29,128.54,37.13,43.34
