Date,AMZN,BA,DIS,IBM,KO,MSFT
2013-12-31,398.79,117.86,70.73,151.07,34.58,32.91
2014-01-02,397.97,118.01,70.61,149.42,34.04,32.69
2014-01-03,396.44,118.83,70.46,150.32,33.87,32.47
2014-01-06,393.63,119.52,70.2,149.8,33.71,31.78
2014-01-07,398.03,121.33,70.68,152.79,33.81,32.03
2014-01-08,401.92,121.6,69.64,151.39,33.43,31.46
2014-01-09,401.01,122.73,69.34,150.91,33.26,31.26
2014-01-10,397.66,122.53,69.8,150.82,33.59,31.71
2014-01-13,390.98,121.49,67.84,148.32,33.09,30.77
2014-01-14,397.54,120.9,68.93,149.74,33.23,31.48
2014-01-15,395.87,121.43,68.77,151.2,33.28,32.34
2014-01-16,395.8,121.07,68.71,152.03,33.24,32.45
2014-01-17,399.61,121.29,68.49,153.1,32.88,32.0
2014-01-21,407.05,122.33,68.7,151.76,33.42,31.82
2014-01-22,404.54,124.66,69.72,146.78,33.4,31.61
2014-01-23,399.87,122.02,69.24,147.17,32.85,31.72
2014-01-24,387.6,118.0,67.33,144.68,32.51,32.38
2014-01-27,386.28,118.61,66.89,143.28,32.42,31.7
2014-01-28,394.43,118.38,67.47,142.43,32.54,31.91
2014-01-29,384.2,112.07,66.04,142.07,31.73,32.25
2014-01-30,403.01,109.26,67.79,142.84,31.95,32.43
2014-01-31,358.69,108.16,67.22,142.3,31.66,33.29
2014-02-03,346.15,106.28,64.8,139.25,31.14,32.09
2014-02-04,347.95,105.38,65.78,139.2,31.38,31.98
2014-02-05,346.45,104.83,66.44,140.33,31.48,31.51
2014-02-06,354.59,105.93,69.96,141.45,31.84,31.83
2014-02-07,361.08,109.68,70.06,143.54,31.77,32.16
2014-02-10,360.87,109.8,71.34,143.45,32.29,32.37
2014-02-11,361.79,112.39,72.02,145.52,32.35,32.7
2014-02-12,349.25,111.26,72.13,145.96,32.24,32.96
2014-02-13,357.2,112.45,72.12,147.25,32.35,33.09
2014-02-14,357.35,113.03,73.35,148.75,32.59,33.1
2014-02-18,353.65,113.44,73.68,148.35,31.37,33.17
2014-02-19,347.38,111.49,73.02,148.15,31.06,33.25
2014-02-20,349.8,112.51,73.32,149.21,31.22,33.46
2014-02-21,346.76,111.39,74.19,148.02,31.12,33.66
2014-02-24,351.78,112.53,74.74,148.56,31.39,33.41
2014-02-25,358.32,110.09,74.26,148.38,31.62,33.27
2014-02-26,359.8,109.94,74.14,149.05,31.7,33.21
2014-02-27,360.13,111.64,74.51,150.03,31.87,33.56
2014-02-28,362.1,111.95,74.82,149.95,31.98,33.95
2014-03-03,359.78,111.34,73.57,149.21,31.91,33.49
2014-03-04,363.9,113.09,75.65,150.98,32.07,34.04
2014-03-05,372.37,111.84,76.55,151.55,32.1,33.78
2014-03-06,372.16,111.9,77.16,151.95,32.2,33.81
2014-03-07,372.06,111.62,76.11,151.98,32.27,33.59
2014-03-10,370.53,110.19,75.89,150.94,32.35,33.52
2014-03-11,368.82,109.13,75.04,151.24,32.48,33.7
2014-03-12,370.64,108.05,75.34,150.8,32.46,33.92
2014-03-13,371.51,105.85,74.0,148.92,32.04,33.58
2014-03-14,373.74,106.91,74.13,147.55,32.21,33.41
2014-03-17,375.04,108.91,75.35,150.47,32.29,33.72
2014-03-18,378.77,107.71,75.91,151.28,32.4,35.05
2014-03-19,373.23,106.15,74.55,149.58,32.18,34.81
2014-03-20,368.97,107.44,74.82,152.16,32.44,35.75
2014-03-21,360.62,106.44,74.39,151.17,32.43,35.59
2014-03-24,351.85,107.17,73.59,152.45,32.4,35.9
2014-03-25,354.71,107.7,73.65,157.94,32.59,35.75
2014-03-26,343.41,107.27,72.79,155.98,32.58,35.27
